Fid  | Fname                                    | Fgroup           | Fcalorie  | Fcarb    | Fprotein | Ffat     | Fsodium   | Ffiber  | 1 | Fserving   | 10
4278 | Paella With Seafood                      | Prepared Meals   |     340.8 |    39.43 |     19.3 |    11.23 |      1464 |    1.92 | 1 | 1 cup      | 10
4279 | Pasta Meat-Filled With Gravy Canned      | Prepared Meals   |     327.5 |    51.05 |       12 |      7.7 |    1082.5 |       2 | 1 | 1 cup      | 10
4280 | Pasta Mix Classic Beef Unprepared        | Prepared Meals   |    431.88 |    88.08 |    15.03 |     2.17 |   1875.14 |    2.44 | 1 | 1 package  | 10
4281 | Pasta Mix Italian Lasagna Unprepared     | Prepared Meals   |    501.96 |   104.02 |    15.37 |     2.78 |    2608.5 |    3.95 | 1 | 1 package  | 10
4282 | Pasta With Cream Sauce Home Recipe       | Prepared Meals   |     382.5 |     41.2 |    10.75 |    19.27 |       650 |    2.25 | 1 | 1 cup      | 10
4283 | Pasta With Cream Sauce Ready-To-Heat     | Prepared Meals   |       415 |     40.3 |     10.5 |    23.38 |     987.5 |    2.25 | 1 | 1 cup      | 10
4284 | Pasta With Cream Sauce Restaurant        | Prepared Meals   |       505 |    38.02 |     9.93 |    34.88 |      1430 |    2.25 | 1 | 1 cup      | 10
4285 | Pasta With Sauce Meatless School Lunch   | Prepared Meals   |       255 |     48.6 |     9.45 |        4 |       220 |    7.25 | 1 | 1 cup      | 10
4286 | Pasta With Sauce Nfs                     | Prepared Meals   |     312.5 |    47.27 |    14.65 |     6.58 |     517.5 |       4 | 1 | 1 cup      | 10
4287 | Pasta With Tomato Sauce No Meat Canned   | Prepared Meals   |    178.92 |    35.13 |     5.59 |     1.79 |    960.12 |    2.27 | 1 | 1 serving  | 10
4288 | Pasta With Tomato-Based Sauce And Cheese | Prepared Meals   |       295 |    36.58 |      9.3 |    12.07 |      1035 |    4.25 | 1 | 1 cup      | 10
4289 | Pasta With Tomato-Based Sauce Restaurant | Prepared Meals   |     397.5 |    45.35 |      8.5 |    20.07 |     987.5 |    4.25 | 1 | 1 cup      | 10
4290 | Pastry Egg And Cheese Filled             | Prepared Meals   |    487.06 |    61.61 |    11.43 |    21.56 |    328.02 |    2.27 | 1 | 1 kolache  | 10
4291 | Pastry Meat / Poultry-Filled             | Prepared Meals   |     287.3 |    26.04 |     9.55 |    16.02 |     346.8 |    0.94 | 1 | 1 kolache  | 10
4292 | Pizza Rolls Frozen Unprepared            | Prepared Meals   |     262.4 |    40.58 |     6.98 |     7.98 |     479.2 |    0.96 | 1 | 1 serving  | 10
4293 | Pork And Onions With Soy-Based Sauce     | Prepared Meals   |    376.32 |    13.95 |    28.24 |    23.09 |     627.2 |    2.05 | 1 | 1 cup      | 10
4294 | Pork And Vegetables Hawaiian Style       | Prepared Meals   |     226.8 |     19.2 |    18.85 |     9.07 |    483.84 |    4.54 | 1 | 1 cup      | 10
4295 | Pork And Watercress With Soy-Based Sauce | Prepared Meals   |    231.66 |     5.73 |     18.5 |    15.15 |    409.86 |    0.81 | 1 | 1 cup      | 10
4296 | Pork Chow Mein Or Chop Suey No Noodles   | Prepared Meals   |     215.6 |     8.47 |    22.75 |     9.46 |       550 |    1.76 | 1 | 1 cup      | 10
4297 | Pork Chow Mein Or Chop Suey With Noodles | Prepared Meals   |     316.8 |    27.04 |    22.15 |    12.47 |     798.6 |    2.64 | 1 | 1 cup      | 10
4298 | Pork Egg Foo Yung                        | Prepared Meals   |    126.42 |     3.89 |    11.42 |     6.91 |    284.66 |    0.17 | 1 | 1 patty    | 10
4299 | Pork Or Ham With Soy-Based Sauce         | Prepared Meals   |    456.28 |     8.22 |    36.21 |    30.55 |    834.48 |    1.22 | 1 | 1 cup      | 10
4300 | Potato Mashed From Dry Mix Nfs           | Prepared Meals   |     282.5 |    31.88 |     5.12 |    15.68 |       640 |    2.25 | 1 | 1 cup      | 10
4301 | Potato Mashed From Fast Food With Gravy  | Prepared Meals   |     202.5 |    31.95 |     3.65 |     6.95 |     807.5 |    2.75 | 1 | 1 cup      | 10
4302 | Potato Mashed From Fresh Made With Milk  | Prepared Meals   |     277.5 |    44.23 |     5.38 |     9.47 |       530 |       3 | 1 | 1 cup      | 10
4303 | Potato Mashed From Fresh Nfs             | Prepared Meals   |     277.5 |    44.23 |     5.38 |     9.47 |       530 |       3 | 1 | 1 cup      | 10
4304 | Potato Mashed From Restaurant            | Prepared Meals   |       335 |    42.12 |     5.17 |    17.07 |       935 |    2.75 | 1 | 1 cup      | 10
4305 | Potato Mashed From Restaurant With Gravy | Prepared Meals   |     292.5 |    36.35 |      4.5 |    14.97 |     942.5 |    2.25 | 1 | 1 cup      | 10
4306 | Potato Mashed From School Lunch          | Prepared Meals   |       190 |    32.85 |     5.35 |     4.42 |       505 |     2.5 | 1 | 1 cup      | 10
4307 | Potato Mashed Nfs                        | Prepared Meals   |     277.5 |    44.23 |     5.38 |     9.47 |       530 |       3 | 1 | 1 cup      | 10
4308 | Potato Mashed Ready-To-Heat With Cheese  | Prepared Meals   |       345 |     30.5 |    10.53 |     20.1 |       840 |    4.25 | 1 | 1 cup      | 10
4309 | Potato Mashed Ready-To-Heat With Gravy   | Prepared Meals   |       235 |    29.23 |      4.3 |    11.32 |       790 |    3.75 | 1 | 1 cup      | 10
4310 | Potato Pancake                           | Prepared Meals   |      19.2 |     2.06 |     0.45 |     1.05 |      40.6 |    0.23 | 1 | 1 miniatur | 10
4311 | Potato Pudding                           | Prepared Meals   |    287.28 |    24.28 |     8.12 |     17.6 |    779.76 |    1.82 | 1 | 1 cup      | 10
4312 | Potato Salad From Restaurant             | Prepared Meals   |    475.75 |    44.63 |     4.24 |    31.62 |    998.25 |     4.4 | 1 | 1 cup      | 10
4313 | Potato Salad German Style                | Prepared Meals   |       182 |     28.7 |     4.27 |      5.6 |       308 |     2.8 | 1 | 1 cup      | 10
4314 | Potato Salad Made With Creamy Dressing   | Prepared Meals   |       385 |    46.17 |     4.37 |    20.71 |       583 |    4.12 | 1 | 1 cup      | 10
4315 | Potato Salad Made With Italian Dressing  | Prepared Meals   |       297 |    49.09 |     3.96 |     9.79 |       616 |    4.12 | 1 | 1 cup      | 10
4316 | Potato Salad Made With Light Mayonnaise  | Prepared Meals   |    288.75 |    46.67 |     3.88 |    10.04 |    591.25 |    4.12 | 1 | 1 cup      | 10
4317 | Potato Salad Made With Mayonnaise        | Prepared Meals   |       462 |    43.45 |     4.18 |    30.64 |     489.5 |    4.12 | 1 | 1 cup      | 10
4318 | Potato Salad With Egg                    | Prepared Meals   |    196.25 |    20.23 |     2.45 |    11.75 |    411.25 |    1.62 | 1 | 1/2 cup    | 10
4319 | Potato Salad With Egg From Restaurant    | Prepared Meals   |    470.25 |     39.6 |     7.92 |    31.32 |     918.5 |    3.85 | 1 | 1 cup      | 10
4320 | Potato Scalloped From Dry Mix            | Prepared Meals   |     417.5 |    34.15 |    16.98 |    23.82 |      1045 |       2 | 1 | 1 cup      | 10
4321 | Potato Scalloped From Dry Mix With Meat  | Prepared Meals   |     417.5 |     33.3 |    17.85 |     23.9 |      1100 |    1.75 | 1 | 1 cup      | 10
4322 | Potato Scalloped From Fresh              | Prepared Meals   |       415 |     34.1 |    17.52 |    23.48 |       810 |       2 | 1 | 1 cup      | 10
4323 | Potato Scalloped From Fresh With Meat    | Prepared Meals   |     432.5 |    32.75 |     18.2 |    25.77 |       890 |    1.75 | 1 | 1 cup      | 10
4324 | Potato Scalloped Nfs                     | Prepared Meals   |       415 |     34.1 |    17.52 |    23.48 |       810 |       2 | 1 | 1 cup      | 10
4325 | Potato Scalloped Ready-To-Heat           | Prepared Meals   |     437.5 |    33.55 |     16.7 |     26.7 |    1012.5 |    1.75 | 1 | 1 cup      | 10
4326 | Potato Scalloped Ready-To-Heat With Meat | Prepared Meals   |     452.5 |    32.35 |    17.35 |    28.65 |      1075 |    1.75 | 1 | 1 cup      | 10
4327 | Pulled Pork In Barbecue Sauce            | Prepared Meals   |    418.32 |    46.66 |    32.84 |    11.01 |   1658.34 |    2.99 | 1 | 1 cup      | 10
4328 | Pupusa Bean-Filled                       | Prepared Meals   |    228.06 |    37.54 |     7.19 |      6.1 |    244.44 |    4.41 | 1 | 1 pupusa ( | 10
4329 | Quesadilla Just Cheese From Fast Food    | Prepared Meals   |     62.28 |     5.41 |     2.39 |     3.41 |    120.42 |    0.38 | 1 | 1 slice or | 10
4330 | Quesadilla Just Cheese Meatless          | Prepared Meals   |     61.74 |      5.9 |     2.27 |     3.19 |    122.58 |    0.41 | 1 | 1 slice or | 10
4331 | Quesadilla With Meat                     | Prepared Meals   |      65.2 |     5.86 |     2.88 |     3.32 |     129.8 |     0.4 | 1 | 1 slice or | 10
4332 | Quesadilla With Vegetables               | Prepared Meals   |      61.4 |     5.93 |     2.26 |     3.15 |     120.6 |    0.44 | 1 | 1 slice or | 10
4333 | Quesadilla With Vegetables And Chicken   | Prepared Meals   |        63 |     5.89 |     2.54 |     3.23 |     124.8 |    0.42 | 1 | 1 slice or | 10
4334 | Quesadilla With Vegetables And Meat      | Prepared Meals   |      63.4 |     5.89 |     2.57 |     3.23 |     125.2 |    0.42 | 1 | 1 slice or | 10
4335 | Quiche With Meat Poultry Or Fish         | Prepared Meals   |    741.12 |    22.52 |    30.32 |    58.94 |   1105.92 |    1.34 | 1 | 1 piece (1 | 10
4336 | Ravioli Cheese-Filled Canned             | Prepared Meals   |    186.34 |    33.01 |        6 |     3.51 |    740.52 |    3.15 | 1 | 1 cup      | 10
4337 | Ravioli Cheese-Filled No Sauce           | Prepared Meals   |     26.55 |     3.05 |     1.25 |        1 |      96.3 |     0.1 | 1 | 1 piece    | 10
4338 | Ravioli Cheese-Filled With Cream Sauce   | Prepared Meals   |     61.94 |      5.8 |     2.54 |     3.11 |    180.12 |    0.19 | 1 | 1 piece    | 10
4339 | Ravioli Cheese-Filled With Meat Sauce    | Prepared Meals   |     48.65 |     4.72 |     2.43 |     2.23 |    208.95 |    0.28 | 1 | 1 piece    | 10
4340 | Ravioli Cheese-Filled With Tomato Sauce  | Prepared Meals   |     37.24 |     5.78 |     1.51 |     0.87 |     93.48 |    0.46 | 1 | 1 piece    | 10
4341 | Ravioli Meat-Filled No Sauce             | Prepared Meals   |     28.35 |     2.62 |     1.87 |     1.08 |    116.85 |    0.09 | 1 | 1 piece    | 10
4342 | Ravioli Meat-Filled With Cream Sauce     | Prepared Meals   |     61.25 |     4.73 |     3.51 |     3.03 |     204.4 |    0.14 | 1 | 1 piece    | 10
4343 | Ravioli Ns As To Filling No Sauce        | Prepared Meals   |      27.9 |     2.86 |      1.6 |     1.06 |      42.9 |     0.1 | 1 | 1 piece    | 10
4344 | Red Beans And Rice                       | Prepared Meals   |    407.68 |    42.36 |    14.63 |    20.25 |    775.04 |     6.5 | 1 | 1 cup      | 10
4345 | Rice Brown With Beans                    | Prepared Meals   |    360.89 |     54.3 |    11.54 |    11.38 |    432.59 |   10.52 | 1 | 1 cup      | 10
4346 | Rice Brown With Beans And Tomatoes       | Prepared Meals   |    291.58 |    44.38 |     9.46 |     9.06 |    396.74 |    9.08 | 1 | 1 cup      | 10
4347 | Rice Cooked With Coconut Milk            | Prepared Meals   |       534 |    53.12 |     7.14 |    34.46 |       366 |     3.8 | 1 | 1 cup      | 10
4348 | Rice Croquette                           | Prepared Meals   |     95.48 |    12.38 |     2.11 |     4.05 |    256.68 |    0.56 | 1 | 1 croquett | 10
4349 | Rice Dessert Or Salad With Fruit         | Prepared Meals   |    240.25 |    33.71 |     2.45 |     11.3 |      15.5 |    1.24 | 1 | 1 cup      | 10
4350 | Rice Dressing                            | Prepared Meals   |     183.7 |    29.51 |     3.34 |     5.58 |    998.66 |       1 | 1 | 1 cup      | 10
4351 | Rice Fried With Beef                     | Prepared Meals   |    352.44 |    55.18 |    15.92 |     7.66 |     663.3 |    1.78 | 1 | 1 cup      | 10
4352 | Rice Fried With Chicken                  | Prepared Meals   |    342.54 |    55.18 |    14.77 |     6.87 |    754.38 |    1.78 | 1 | 1 cup      | 10
4353 | Rice Fried With Pork                     | Prepared Meals   |    354.42 |    55.18 |    15.33 |     7.84 |    669.24 |    1.78 | 1 | 1 cup      | 10
4354 | Rice Fried With Shrimp                   | Prepared Meals   |    328.68 |    55.64 |    13.58 |     5.48 |    685.08 |    1.78 | 1 | 1 cup      | 10
4355 | Rice Meal Fritter Puerto Rican Style     | Prepared Meals   |      93.3 |    10.98 |     2.67 |     4.21 |     141.9 |     0.3 | 1 | 1 cruller  | 10
4356 | Rice With Beans                          | Prepared Meals   |    372.84 |    56.09 |    11.95 |    11.57 |    468.44 |   10.04 | 1 | 1 cup      | 10
4357 | Rice With Beans And Beef                 | Prepared Meals   |    413.47 |    47.18 |    19.74 |    16.11 |    544.92 |    8.37 | 1 | 1 cup      | 10
4358 | Rice With Beans And Chicken              | Prepared Meals   |    377.62 |    47.27 |    20.12 |    12.14 |    523.41 |    8.37 | 1 | 1 cup      | 10
4359 | Rice With Beans And Pork                 | Prepared Meals   |    403.91 |    47.18 |    20.05 |    15.01 |    415.86 |    8.37 | 1 | 1 cup      | 10
4360 | Rice With Beans And Tomatoes             | Prepared Meals   |    296.36 |    45.08 |     9.63 |     9.03 |    423.03 |     8.6 | 1 | 1 cup      | 10
4361 | Rice With Chicken Puerto Rican Style     | Prepared Meals   |    466.29 |    49.39 |    15.92 |    22.01 |   1144.53 |    1.26 | 1 | 1 cup, wit | 10
4362 | Rice With Onions Puerto Rican Style      | Prepared Meals   |    285.45 |     31.1 |     5.74 |    16.09 |     752.4 |    2.15 | 1 | 1 cup      | 10
4363 | Rice With Raisins                        | Prepared Meals   |     299.7 |     59.4 |     4.85 |     4.87 |     825.1 |    1.29 | 1 | 1 cup      | 10
4364 | Rice With Squid Puerto Rican Style       | Prepared Meals   |     414.4 |    46.98 |    14.27 |    18.35 |     899.2 |     1.6 | 1 | 1 cup      | 10
4365 | Salisbury Steak With Gravy Frozen        | Prepared Meals   |     93.87 |     4.27 |      4.4 |      6.6 |    320.67 |    0.63 | 1 | 1 patty    | 10
4366 | Sausage Egg And Cheese Breakfast Biscuit | Prepared Meals   |    408.24 |    27.18 |    12.02 |    27.88 |    744.66 |    2.52 | 1 | 1 biscuit  | 10
4367 | Seafood Paella Puerto Rican Style        | Prepared Meals   |     331.2 |    36.09 |     17.5 |     12.6 |     535.9 |    2.07 | 1 | 1 cup      | 10
4368 | Seaweed Prepared With Soy Sauce          | Prepared Meals   |     41.28 |     7.22 |     3.98 |     0.48 |      1032 |    0.67 | 1 | 1 cup      | 10
4369 | Shrimp And Noodles With Soy-Based Sauce  | Prepared Meals   |    311.36 |    18.35 |     22.8 |    15.93 |    656.32 |    1.34 | 1 | 1 cup      | 10
4370 | Shrimp Chow Mein Or Chop Suey No Noodles | Prepared Meals   |     151.8 |     9.39 |    19.36 |     3.72 |     578.6 |    1.76 | 1 | 1 cup      | 10
4371 | Shrimp Egg Foo Yung                      | Prepared Meals   |    215.25 |     8.65 |    20.44 |    10.41 |     605.5 |    0.35 | 1 | 1 cup      | 10
4373 | Soft Taco With Beans                     | Prepared Meals   |       184 |    23.63 |     6.88 |     7.01 |       493 |       4 | 1 | 100 g      | 10
4374 | Soft Taco With Beans And Sour Cream      | Prepared Meals   |       185 |    21.66 |     6.42 |     8.29 |       445 |     3.6 | 1 | 100 g      | 10
4375 | Soft Taco With Chicken                   | Prepared Meals   |       221 |    21.28 |     12.5 |     9.58 |       658 |       2 | 1 | 100 g      | 10
4376 | Soft Taco With Chicken And Beans         | Prepared Meals   |    222.88 |    25.39 |    10.28 |     9.04 |    628.32 |    3.58 | 1 | 1 small ta | 10
4377 | Soft Taco With Chicken And Sour Cream    | Prepared Meals   |       218 |    18.91 |    11.07 |    10.97 |       569 |     1.7 | 1 | 100 g      | 10
4378 | Soft Taco With Fish                      | Prepared Meals   |    187.06 |       20 |     9.61 |     7.53 |    563.06 |    1.88 | 1 | 1 small ta | 10
4379 | Soft Taco With Meat                      | Prepared Meals   |    227.63 |    21.03 |       11 |    11.03 |    687.01 |    2.16 | 1 | 1 small ta | 10
4380 | Soft Taco With Meat And Beans            | Prepared Meals   |    235.17 |    26.08 |    10.04 |    10.14 |    668.07 |    3.74 | 1 | 1 small ta | 10
4381 | Soft Taco With Meat And Sour Cream       | Prepared Meals   |       221 |    18.64 |     9.75 |    11.97 |       593 |     1.9 | 1 | 100 g      | 10
4382 | Soft Taco With Meat Beans And Sour Cream | Prepared Meals   |    266.64 |     26.9 |    10.45 |    13.15 |    675.84 |     3.7 | 1 | 1 small ta | 10
4383 | Spaghetti With Meat Sauce Frozen Entree  | Prepared Meals   |     254.7 |    43.13 |    14.29 |     2.86 |    673.54 |    5.09 | 1 | 1 serving  | 10
4384 | Spanakopitta                             | Prepared Meals   |     24.72 |     1.26 |      0.9 |     1.82 |        45 |    0.16 | 1 | 1 cubic in | 10
4385 | Spanish Rice Fat Added In Cooking        | Prepared Meals   |    277.02 |    47.77 |        7 |     6.25 |    755.73 |    2.92 | 1 | 1 cup      | 10
4386 | Spanish Rice Fat Not Added In Cooking    | Prepared Meals   |    245.43 |    48.41 |      7.1 |     2.45 |    765.45 |    2.92 | 1 | 1 cup      | 10
4387 | Spanish Rice Mix Dry Mix Unprepared      | Prepared Meals   |     254.1 |    53.52 |     7.43 |     1.13 |     759.5 |    2.17 | 1 | 1/2 cup    | 10
4388 | Spanish Rice With Ground Beef            | Prepared Meals   |     372.6 |    34.04 |    22.29 |    15.82 |     807.3 |    2.07 | 1 | 1 cup      | 10
4389 | Spinach Quiche Meatless                  | Prepared Meals   |    423.28 |    16.39 |    14.96 |    33.58 |    441.87 |    1.72 | 1 | 1 piece (1 | 10
4391 | Stewed Potatoes                          | Prepared Meals   |       285 |    49.77 |      4.6 |     8.05 |     372.5 |     3.5 | 1 | 1 cup      | 10
4392 | Stewed Potatoes Puerto Rican Style       | Prepared Meals   |    140.22 |    23.09 |     2.58 |     4.48 |       369 |    2.34 | 1 | 1 small    | 10
4393 | Stewed Potatoes With Tomatoes            | Prepared Meals   |       230 |    37.92 |     3.92 |     7.83 |     372.5 |       3 | 1 | 1 cup      | 10
4394 | Stewed Rice Puerto Rican Style           | Prepared Meals   |     377.4 |    56.92 |     6.75 |    13.06 |    1113.5 |    1.19 | 1 | 1 cup      | 10
4395 | Stuffed Shells Cheese-Filled No Sauce    | Prepared Meals   |       126 |     12.4 |     6.47 |     5.44 |       255 |    0.42 | 1 | 1 shell (j | 10
4396 | Sushi Nfs                                | Prepared Meals   |      27.9 |     5.53 |     0.88 |      0.2 |     128.7 |     0.3 | 1 | 1 piece    | 10
4397 | Sushi Roll Avocado                       | Prepared Meals   |      27.6 |     5.31 |     0.54 |     0.44 |     108.3 |    0.42 | 1 | 1 piece    | 10
4398 | Sushi Roll California                    | Prepared Meals   |      27.9 |     5.53 |     0.88 |      0.2 |     128.7 |     0.3 | 1 | 1 piece    | 10
4399 | Sushi Roll Eel                           | Prepared Meals   |      38.1 |     4.59 |     2.13 |     1.11 |     127.2 |    0.21 | 1 | 1 piece    | 10
4400 | Sushi Roll Salmon                        | Prepared Meals   |      30.9 |     4.59 |     2.06 |     0.38 |     105.3 |    0.21 | 1 | 1 piece    | 10
4401 | Sushi Roll Shrimp                        | Prepared Meals   |        30 |      4.7 |      2.1 |     0.17 |     107.7 |    0.21 | 1 | 1 piece    | 10
4402 | Sushi Roll Tuna                          | Prepared Meals   |      29.1 |     4.59 |     2.22 |     0.07 |     102.9 |    0.21 | 1 | 1 piece    | 10
4403 | Sushi Roll Vegetable                     | Prepared Meals   |     20.24 |      3.9 |      0.4 |     0.32 |     79.42 |    0.31 | 1 | 1 piece    | 10
4404 | Sushi Topped With Crab                   | Prepared Meals   |     33.25 |     6.51 |     1.35 |     0.09 |     165.9 |    0.28 | 1 | 1 piece    | 10
4405 | Sushi Topped With Eel                    | Prepared Meals   |      49.7 |     4.69 |     3.23 |     1.82 |     147.7 |    0.21 | 1 | 1 piece    | 10
4406 | Sushi Topped With Egg                    | Prepared Meals   |        58 |     5.37 |      3.5 |     2.31 |       206 |     0.2 | 1 | 1 piece    | 10
4407 | Sushi Topped With Salmon                 | Prepared Meals   |     37.45 |     4.69 |     3.12 |     0.61 |     111.3 |    0.21 | 1 | 1 piece    | 10
4408 | Sushi Topped With Shrimp                 | Prepared Meals   |     36.05 |     4.87 |     3.19 |     0.24 |    115.15 |    0.21 | 1 | 1 piece    | 10
4409 | Sushi Topped With Tuna                   | Prepared Meals   |        35 |     4.69 |     3.38 |      0.1 |     107.1 |    0.21 | 1 | 1 piece    | 10
4410 | Sweet And Sour Pork                      | Prepared Meals   |    438.44 |    40.88 |    26.22 |    18.78 |     892.7 |    2.03 | 1 | 1 cup      | 10
4411 | Sweet And Sour Pork With Rice            | Prepared Meals   |    448.96 |    48.75 |    24.79 |    17.08 |    807.64 |    1.95 | 1 | 1 cup      | 10
4412 | Sweet And Sour Shrimp                    | Prepared Meals   |    295.68 |    27.77 |    12.62 |    15.01 |    614.24 |    1.41 | 1 | 1 cup      | 10
4413 | Tabbouleh                                | Prepared Meals   |     196.8 |     15.5 |     2.62 |    14.96 |     796.8 |    2.88 | 1 | 1 cup      | 10
4414 | Taco Or Tostada Salad Meatless           | Prepared Meals   |    376.74 |    45.05 |    12.38 |    17.15 |     643.5 |    8.89 | 1 | 1 small ta | 10
4415 | Taco Or Tostada Salad With Chicken       | Prepared Meals   |     398.4 |    38.98 |    18.84 |     19.2 |     772.8 |    6.96 | 1 | 1 small ta | 10
4416 | Taco Or Tostada Salad With Meat          | Prepared Meals   |    421.86 |    38.96 |     17.7 |    22.04 |    777.36 |    6.87 | 1 | 1 small ta | 10
4417 | Taco Or Tostada With Beans               | Prepared Meals   |     252.5 |    29.18 |     7.99 |    11.89 |    483.75 |    5.75 | 1 | 1 small ta | 10
4418 | Taco Or Tostada With Chicken             | Prepared Meals   |       204 |    16.35 |    10.19 |    11.02 |     422.4 |    2.08 | 1 | 1 small ta | 10
4419 | Taco Or Tostada With Chicken And Beans   | Prepared Meals   |    229.69 |    22.86 |     9.18 |    11.55 |    456.29 |    3.91 | 1 | 1 small ta | 10
4420 | Taco Or Tostada With Fish                | Prepared Meals   |      45.8 |     4.09 |     2.01 |     2.38 |      91.8 |    0.52 | 1 | 1 miniatur | 10
4421 | Taco Or Tostada With Meat                | Prepared Meals   |     54.12 |     4.24 |      2.3 |     3.15 |    120.34 |    0.59 | 1 | 1 miniatur | 10
4422 | Taco Or Tostada With Meat And Beans      | Prepared Meals   |    241.98 |     23.6 |     8.93 |     12.7 |    499.22 |    4.14 | 1 | 1 small ta | 10
4423 | Taco Or Tostada With Meat And Sour Cream | Prepared Meals   |    264.87 |    19.01 |    10.29 |    16.62 |     523.2 |    2.51 | 1 | 1 small ta | 10
4424 | Taco With Crab Meat Puerto Rican Style   | Prepared Meals   |    263.78 |    20.12 |    14.56 |    13.71 |    869.99 |    1.45 | 1 | 1 taco (4- | 10
4425 | Tamal In A Leaf Puerto Rican Style       | Prepared Meals   |     62.73 |     4.83 |     3.86 |     3.35 |     118.9 |    0.61 | 1 | 1 tamal (6 | 10
4426 | Tamale Casserole Puerto Rican Style      | Prepared Meals   |    372.09 |    26.16 |    16.54 |    22.92 |    651.75 |    3.56 | 1 | 1 cup      | 10
4427 | Tamale Casserole With Meat               | Prepared Meals   |     390.4 |    37.65 |     15.4 |    20.13 |    875.96 |    4.15 | 1 | 1 cup      | 10
4428 | Tamale With Chicken                      | Prepared Meals   |    185.64 |    12.55 |     7.22 |    12.07 |    385.56 |    1.09 | 1 | 1 small ta | 10
4429 | Taquito Or Flauta With Cheese            | Prepared Meals   |     96.84 |    11.98 |     3.74 |     4.02 |     75.96 |    1.66 | 1 | 1 small ta | 10
4430 | Tortellini Cheese-Filled No Sauce        | Prepared Meals   |       354 |    54.23 |    15.57 |     8.34 |       234 |    2.25 | 1 | 1 cup      | 10
4431 | Tortellini Meat-Filled No Sauce          | Prepared Meals   |     362.9 |    33.93 |    22.72 |    14.29 |       836 |    1.14 | 1 | 1 cup      | 10
4432 | Tortellini Meat-Filled With Tomato Sauce | Prepared Meals   |     281.4 |    33.33 |    13.44 |    10.44 |      1302 |     2.1 | 1 | 1 cup      | 10
4433 | Tortellini Spinach-Filled No Sauce       | Prepared Meals   |    228.14 |    25.91 |    10.64 |      8.7 |    246.44 |     1.1 | 1 | 1 cup      | 10
4434 | Turkey Pot Pie Frozen Entree             | Prepared Meals   |    698.72 |    70.27 |     25.8 |    34.94 |    1389.5 |    4.37 | 1 | 1 package  | 10
4435 | Turnover Chicken With Gravy              | Prepared Meals   |    312.48 |    22.57 |    10.55 |    20.07 |     492.8 |    0.78 | 1 | 1 turnover | 10
4436 | Turnover Meat- And Bean-Filled No Gravy  | Prepared Meals   |    305.36 |     22.8 |    10.98 |     18.7 |    342.32 |    1.41 | 1 | 1 turnover | 10
4437 | Turnover Meat-Filled No Gravy            | Prepared Meals   |    326.48 |    23.02 |    11.33 |    20.77 |    381.04 |    0.88 | 1 | 1 turnover | 10
4438 | Turnover Meat-Filled With Gravy          | Prepared Meals   |    378.48 |    27.34 |    14.26 |    23.51 |    732.64 |    1.06 | 1 | 1 turnover | 10
4439 | Vada Fried Dumpling                      | Prepared Meals   |     76.85 |     9.69 |     3.72 |     2.82 |     91.35 |    1.65 | 1 | 1 vada     | 10
4440 | Veal Lasagna Diet Frozen Meal            | Prepared Meals   |    258.99 |    30.93 |    19.32 |     6.58 |   1001.04 |    3.78 | 1 | 1 meal (10 | 10
4441 | Vegetable Lasagna Frozen Meal            | Prepared Meals   |       146 |    14.75 |     4.89 |     7.78 |       309 |     1.7 | 1 | 100 g      | 10
4442 | Vegetables And Cheese In Pastry          | Prepared Meals   |    324.45 |    20.33 |     8.08 |    24.33 |    184.37 |    2.88 | 1 | 1 pastry   | 10
4443 | Vegetables In Pastry                     | Prepared Meals   |    316.21 |    21.83 |     6.73 |    23.46 |    142.14 |    3.19 | 1 | 1 pastry   | 10
4444 | Wonton Fried Meatless                    | Prepared Meals   |     36.29 |     2.67 |     1.66 |     2.11 |     88.73 |    0.28 | 1 | 1 wonton,  | 10
4445 | Yat Ga Mein With Meat Fish Or Poultry    | Prepared Meals   |    276.75 |    25.17 |    20.56 |     9.96 |    801.55 |    2.46 | 1 | 1 cup      | 10
4446 | Zucchini Lasagna Diet Frozen Meal        | Prepared Meals   |    308.88 |    39.81 |    16.72 |     9.95 |    957.84 |    4.06 | 1 | 1 lean cui | 10
4448 | Applebees Chicken Tenders From Kids Menu | Restaurant Foods |     103.6 |     6.43 |     6.74 |     5.65 |    267.05 |    0.42 | 1 | 1 piece    | 10
4449 | Applebees Chicken Tenders Platter        | Restaurant Foods |    620.73 |    37.58 |    41.01 |    33.94 |    1546.6 |    2.09 | 1 | 1 serving  | 10
4450 | Applebees Chili                          | Restaurant Foods |    213.52 |     6.22 |    17.08 |    13.31 |    518.16 |     1.9 | 1 | 1 cup      | 10
4451 | Applebees Coleslaw                       | Restaurant Foods |      91.2 |    10.01 |      0.6 |     5.39 |    135.28 |    2.13 | 1 | 1 serving  | 10
4452 | Applebees Double Crunch Shrimp           | Restaurant Foods |    665.38 |    53.48 |    25.36 |    38.93 |   1726.28 |    5.36 | 1 | 1 serving  | 10
4453 | Applebees Fish Hand Battered             | Restaurant Foods |       505 |    41.62 |    33.08 |    22.85 |    1517.5 |    2.25 | 1 | 1 serving  | 10
4454 | Applebees French Fries                   | Restaurant Foods |     475.6 |    64.78 |     5.43 |     21.6 |   1013.52 |     6.4 | 1 | 1 serving  | 10
4455 | Applebees Mozzarella Sticks              | Restaurant Foods |    101.12 |     7.32 |     4.76 |     5.88 |    268.16 |    0.67 | 1 | 1 piece    | 10
